id,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12
1,50,75,25,37,88,63,12,18,69,94,44,31,50,25,75,37,88,12,63,31,82,6,56,18
2,82,56,6,9,59,85,34,47,97,72,22,15,69,44,94,47,97,22,72,9,59,34,85,15
3,66,91,41,28,78,53,3,4,55,80,29,42,66,41,91,28,78,3,53,26,77,1,52,14
4,93,67,17,23,74,99,48,36,86,61,11,7,64,39,89,7,58,33,83,45,96,20,71,23
5,58,83,33,45,96,71,20,14,64,89,39,26,74,48,99,36,86,11,61,42,93,17,67,4
6,77,52,1,2,52,78,27,40,90,65,14,21,55,29,80,40,90,14,65,2,52,27,78,21
7,71,97,46,33,84,59,8,11,62,87,37,49,71,46,97,33,84,8,59,11,62,37,87,49
8,100,74,24,18,68,93,43,30,81,56,5,3,100,24,74,30,81,5,56,18,68,43,93,13
9,54,79,29,41,92,67,16,22,73,98,48,35,63,38,89,26,76,0,51,44,95,19,70,7
10,86,60,10,7,57,82,32,44,95,70,19,13,57,32,82,35,86,10,60,22,73,48,98,3
11,63,89,38,26,76,51,0,1,51,76,26,39,54,29,79,41,92,16,67,33,84,8,58,20
12,89,64,13,20,70,95,45,32,83,57,7,10,71,46,96,1,52,27,77,39,90,14,65,17
13,61,86,35,48,99,73,23,16,67,92,42,29,68,43,93,30,80,5,55,49,99,24,74,11
14,80,54,4,5,56,81,31,43,94,69,18,24,61,36,87,6,57,31,82,44,95,19,69,25
15,75,100,50,37,87,62,12,9,59,84,34,46,76,0,50,13,63,38,88,41,91,16,66,3
16,97,72,21,15,65,91,40,28,78,53,2,1,54,28,79,22,72,47,98,35,85,9,60,20
17,52,77,27,39,90,65,14,20,71,96,46,33,70,45,95,32,83,7,57,39,89,13,64,1
18,84,58,8,11,61,87,36,49,99,74,24,17,51,26,76,29,80,4,54,16,67,42,92,10
19,68,93,43,30,80,55,5,3,54,79,28,41,61,35,86,48,99,23,73,46,97,21,72,9
20,91,66,16,22,72,98,47,35,85,60,9,6,59,34,84,15,65,40,91,28,78,2,53,5
21,57,82,31,44,95,69,19,13,63,88,38,25,56,31,81,43,94,18,69,37,87,12,62,24
22,76,50,0,0,51,76,25,38,88,63,13,19,75,50,100,50,100,25,75,12,62,37,88,18
23,70,95,44,32,82,57,6,10,60,85,35,47,69,43,94,31,81,6,56,2,53,28,78,40
24,98,73,22,16,66,92,41,29,79,54,3,5,91,15,66,34,85,9,59,21,72,47,97,23
25,55,81,30,43,93,68,17,24,74,100,49,36,73,48,99,36,86,10,61,42,92,17,67,4
26,87,62,11,8,58,84,33,46,96,71,21,14,55,29,80,26,77,1,51,14,64,39,89,7
27,65,90,40,27,77,52,2,2,53,78,28,40,58,32,83,45,96,20,70,10,60,35,85,47
28,91,66,15,21,72,97,47,34,85,59,9,12,98,22,73,29,79,3,54,16,66,41,92,38
29,62,88,37,50,100,75,25,18,69,94,43,31,88,13,63,0,51,25,76,19,70,44,95,32
30,81,56,6,4,55,80,29,42,92,67,17,23,82,6,57,36,87,11,62,24,74,49,100,5
31,73,99,48,36,86,61,10,7,58,83,32,45,55,30,81,43,93,17,68,14,65,40,90,27
32,96,70,20,14,64,89,39,26,77,51,1,0,77,2,52,46,96,21,71,8,58,33,84,16
33,51,76,26,38,89,64,13,19,70,95,45,32,67,42,92,29,79,4,54,48,98,23,73,10
34,83,57,7,10,60,86,35,48,98,73,23,16,60,35,86,32,83,7,57,19,70,45,95,0
35,67,92,42,29,79,54,4,5,56,81,30,43,51,26,76,38,89,13,64,43,94,18,68,5
36,94,68,18,24,75,100,49,37,87,62,12,8,56,30,81,24,75,49,100,37,87,12,62,8
37,59,84,34,46,97,71,21,15,65,90,40,27,59,34,84,46,97,21,71,27,78,2,53,15
38,78,53,2,1,52,77,27,39,90,64,14,20,65,40,90,30,80,4,55,17,68,42,93,11
39,71,96,45,33,83,58,8,11,61,86,36,49,61,36,86,49,99,23,74,20,71,45,96,33
40,99,74,23,17,68,93,42,30,80,55,4,3,83,8,58,39,90,14,64,1,52,27,77,3
41,53,79,28,41,91,66,15,22,72,98,47,34,53,28,79,41,91,15,66,34,85,9,60,22
42,85,60,9,6,57,82,31,44,94,69,19,12,72,47,98,44,94,19,69,6,57,31,82,12
43,63,88,38,25,75,50,0,0,50,76,25,38,63,38,88,25,75,0,50,25,75,0,50,12
44,88,63,12,19,69,94,44,31,82,57,6,9,63,37,88,6,56,31,82,44,94,19,69,22
45,60,85,35,47,98,72,22,16,66,91,41,28,72,47,97,34,85,9,60,41,91,15,66,3
46,79,53,3,5,55,80,30,42,93,68,17,23,53,28,78,1,52,26,77,39,90,14,64,33
47,74,99,49,36,87,61,11,8,58,83,33,46,83,7,58,20,71,45,96,49,99,23,74,11
48,96,71,20,14,64,90,39,27,77,52,1,2,61,36,86,17,67,42,93,30,80,4,55,15
49,53,78,27,40,91,65,15,21,72,97,46,34,65,40,90,27,78,2,52,46,97,21,71,8
50,84,59,8,12,62,87,37,50,100,75,24,18,59,34,84,37,87,11,62,24,75,49,100,5
51,68,94,43,31,81,56,5,4,54,79,29,42,56,30,81,43,93,18,68,38,89,13,64,0
52,92,67,16,23,73,98,48,35,86,61,10,7,51,26,76,19,70,45,95,32,82,7,57,10
53,57,83,32,45,95,70,20,13,64,89,38,26,60,35,86,48,98,22,73,29,79,4,54,16
54,76,51,1,1,51,77,26,39,89,64,14,20,67,41,92,8,58,33,84,46,96,21,71,27
55,70,96,45,33,83,58,7,10,61,86,36,48,77,2,52,14,65,39,90,43,93,17,68,5
56,99,74,23,17,67,93,42,29,80,55,4,6,55,30,80,24,74,49,99,36,87,11,62,32
57,56,81,31,44,94,69,18,25,75,100,50,37,82,6,57,19,69,44,95,0,50,25,76,38
58,88,63,12,9,59,85,34,47,97,72,22,15,88,13,63,16,66,41,92,28,79,3,54,47
59,66,91,40,28,78,53,3,2,52,78,27,40,98,22,73,9,60,35,85,45,95,20,70,7
60,90,65,14,21,71,96,46,33,84,59,8,11,58,32,83,13,64,39,89,26,77,1,51,4
61,62,87,36,49,100,74,24,18,68,93,43,30,54,29,80,42,92,17,67,36,86,10,61,23
62,81,55,5,3,54,79,29,41,92,66,16,22,73,48,99,21,72,47,97,34,84,9,59,40
63,73,98,48,35,85,60,10,7,57,82,32,44,91,15,65,2,53,28,78,31,81,6,56,18
64,95,70,19,13,63,89,38,25,76,51,0,0,69,43,94,12,62,37,88,50,100,24,75,25
65,50,76,25,38,88,63,13,19,69,95,44,32,75,50,100,37,88,12,63,44,94,18,69,6
66,82,57,6,9,60,85,35,47,98,73,22,16,56,31,81,28,78,3,53,15,66,40,91,9
67,66,92,41,28,79,54,3,5,55,80,30,43,59,34,85,47,97,22,72,48,99,23,74,10
68,93,68,17,24,74,99,49,36,87,62,11,8,61,36,86,17,67,42,93,29,80,4,55,1
69,58,84,33,46,96,71,21,14,65,90,39,27,51,26,77,39,89,14,64,33,83,7,58,20
70,77,52,2,2,53,78,28,40,91,65,15,21,70,45,96,35,85,10,60,22,73,48,98,3
71,72,97,47,34,84,59,9,12,62,88,37,50,54,29,79,41,92,16,66,13,63,38,89,25
72,100,75,24,18,69,94,43,31,81,56,6,4,76,0,51,44,95,19,70,7,57,32,82,11
73,54,80,29,42,92,67,17,23,73,99,48,36,62,36,87,49,100,24,74,30,81,5,55,18
74,86,61,10,7,58,83,32,45,95,70,20,13,68,43,93,40,90,14,65,2,52,27,78,21
75,64,89,39,26,77,51,1,0,51,76,26,38,71,46,96,33,84,8,59,42,92,16,67,4
76,89,64,13,19,70,95,45,32,82,57,7,10,54,29,79,23,73,48,98,35,86,10,61,7
77,60,86,35,48,98,73,22,16,67,92,41,29,57,32,83,45,95,20,70,26,76,1,51,13
78,79,54,4,5,56,81,30,43,93,68,18,24,64,38,89,18,68,43,94,31,81,5,56,50
79,75,100,49,37,87,62,11,8,59,84,34,46,100,24,75,12,62,37,87,34,84,8,59,21
80,97,71,21,15,65,90,40,27,78,52,2,1,72,46,97,2,53,27,78,40,91,15,65,5
81,52,77,26,39,90,64,14,20,71,96,45,33,55,30,80,42,93,17,68,36,87,11,61,23
82,83,58,7,11,61,86,36,49,99,74,23,17,74,49,99,46,96,20,71,8,58,33,83,14
83,67,93,42,30,80,55,4,3,53,78,28,41,64,39,90,27,77,1,52,28,79,3,53,16
84,91,66,15,22,72,97,47,34,85,60,9,6,66,41,91,9,60,35,85,47,98,22,72,19
85,56,82,31,44,94,69,19,12,63,88,37,25,69,44,94,31,82,6,57,38,88,12,63,0
86,75,50,0,0,50,75,25,38,88,63,12,19,50,25,76,38,88,12,63,0,50,25,75,19
87,69,94,44,31,82,56,6,9,60,85,34,47,69,44,94,31,82,6,56,9,60,34,85,47
88,97,72,22,15,66,91,41,28,79,53,3,4,97,22,72,28,79,3,53,15,66,41,91,14
89,55,80,30,42,93,68,17,23,74,99,49,36,64,39,90,26,77,1,52,45,96,20,71,8
90,86,61,11,8,58,83,33,45,96,71,20,14,58,33,83,36,86,11,61,23,74,49,99,4
91,64,90,39,26,77,52,1,2,53,78,27,40,55,30,80,42,93,17,68,2,53,27,78,40
92,90,65,15,21,71,97,46,34,84,59,8,11,90,15,65,34,84,8,59,21,71,46,97,49
93,62,87,37,49,100,75,24,18,68,94,43,30,100,24,75,11,62,37,87,18,68,43,94,30
94,81,56,5,4,54,79,29,41,92,67,16,23,81,5,56,26,76,0,51,13,64,38,89,7
95,73,98,48,35,86,60,10,7,57,82,32,45,57,32,82,45,95,19,70,23,73,48,98,35
96,95,70,19,13,64,89,38,26,76,51,0,1,86,10,60,41,92,16,67,4,54,29,79,21
97,51,77,26,39,89,64,13,20,70,96,45,32,71,46,96,33,84,8,58,39,90,14,65,2
98,83,58,7,10,61,86,36,48,99,73,23,17,52,27,77,30,81,5,55,17,68,43,93,11
99,67,92,42,29,80,54,4,6,56,81,31,43,62,36,87,49,99,24,74,44,95,19,69,6
100,94,69,18,25,75,100,50,37,88,62,12,9,57,32,82,13,63,38,88,25,76,0,51,3
