id,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1,50,75,25,37,88,63,12,18,69,94,50,25,75,37,88,12,63,31,82,6
2,44,31,82,56,6,9,59,85,34,47,56,18,69,44,94,47,97,22,72,9
3,97,72,22,15,66,91,41,28,78,53,59,34,85,15,66,41,91,28,78,3
4,3,4,55,80,29,42,93,67,17,23,53,26,77,1,52,14,64,39,89,7
5,74,99,48,36,86,61,11,7,58,83,58,33,83,45,96,20,71,23,74,48
6,33,45,96,71,20,14,64,89,39,26,99,36,86,11,61,42,93,17,67,4
7,77,52,1,2,52,78,27,40,90,65,55,29,80,40,90,14,65,2,52,27
8,14,21,71,97,46,33,84,59,8,11,78,21,71,46,97,33,84,8,59,11
9,62,87,37,49,100,74,24,18,68,93,62,37,87,49,100,24,74,30,81,5
10,43,30,81,56,5,3,54,79,29,41,56,18,68,43,93,13,63,38,89,26
11,92,67,16,22,73,98,48,35,86,60,76,0,51,44,95,19,70,7,57,32
12,10,7,57,82,32,44,95,70,19,13,82,35,86,10,60,22,73,48,98,3
13,63,89,38,26,76,51,0,1,51,76,54,29,79,41,92,16,67,33,84,8
14,26,39,89,64,13,20,70,95,45,32,58,20,71,46,96,1,52,27,77,39
15,83,57,7,10,61,86,35,48,99,73,90,14,65,17,68,43,93,30,80,5
16,23,16,67,92,42,29,80,54,4,5,55,49,99,24,74,11,61,36,87,6
17,56,81,31,43,94,69,18,24,75,100,57,31,82,44,95,19,69,25,76,0
18,50,37,87,62,12,9,59,84,34,46,50,13,63,38,88,41,91,16,66,3
19,97,72,21,15,65,91,40,28,78,53,54,28,79,22,72,47,98,35,85,9
20,2,1,52,77,27,39,90,65,14,20,60,20,70,45,95,32,83,7,57,39
21,71,96,46,33,84,58,8,11,61,87,89,13,64,1,51,26,76,29,80,4
22,36,49,99,74,24,17,68,93,43,30,54,16,67,42,92,10,61,35,86,48
23,80,55,5,3,54,79,28,41,91,66,99,23,73,46,97,21,72,9,59,34
24,16,22,72,98,47,35,85,60,9,6,84,15,65,40,91,28,78,2,53,5
25,57,82,31,44,95,69,19,13,63,88,56,31,81,43,94,18,69,37,87,12
26,38,25,76,50,0,0,51,76,25,38,62,24,75,50,100,50,100,25,75,12
27,88,63,13,19,70,95,44,32,82,57,62,37,88,18,69,43,94,31,81,6
28,6,10,60,85,35,47,98,73,22,16,56,2,53,28,78,40,91,15,66,34
29,66,92,41,29,79,54,3,5,55,81,85,9,59,21,72,47,97,23,73,48
30,30,43,93,68,17,24,74,100,49,36,99,36,86,10,61,42,92,17,67,4
31,87,62,11,8,58,84,33,46,96,71,55,29,80,26,77,1,51,14,64,39
32,21,14,65,90,40,27,77,52,2,2,89,7,58,32,83,45,96,20,70,10
33,53,78,28,40,91,66,15,21,72,97,60,35,85,47,98,22,73,29,79,3
34,47,34,85,59,9,12,62,88,37,50,54,16,66,41,92,38,88,13,63,0
35,100,75,25,18,69,94,43,31,81,56,51,25,76,19,70,44,95,32,82,6
36,6,4,55,80,29,42,92,67,17,23,57,36,87,11,62,24,74,49,100,5
37,73,99,48,36,86,61,10,7,58,83,55,30,81,43,93,17,68,14,65,40
38,32,45,96,70,20,14,64,89,39,26,90,27,77,2,52,46,96,21,71,8
39,77,51,1,0,51,76,26,38,89,64,58,33,84,16,67,42,92,29,79,4
40,13,19,70,95,45,32,83,57,7,10,54,48,98,23,73,10,60,35,86,32
41,60,86,35,48,98,73,23,16,67,92,83,7,57,19,70,45,95,0,51,26
42,42,29,79,54,4,5,56,81,30,43,76,38,89,13,64,43,94,18,68,5
43,94,68,18,24,75,100,49,37,87,62,56,30,81,24,75,49,100,37,87,12
