id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
1,a,50,75,25,37,88,63,12,18,69,94
2,a,44,31,82,56,6,9,59,85,34,47
3,a,97,72,22,15,66,91,41,28,78,53
4,a,3,4,55,80,29,42,93,67,17,23
5,a,74,99,48,36,86,61,11,7,58,83
6,a,33,45,96,71,20,14,64,89,39,26
7,a,77,52,1,2,52,78,27,40,90,65
8,a,14,21,71,97,46,33,84,59,8,11
9,a,62,87,37,49,100,74,24,18,68,93
10,a,43,30,81,56,5,3,54,79,29,41
11,a,92,67,16,22,73,98,48,35,86,60
12,a,10,7,57,82,32,44,95,70,19,13
13,a,63,89,38,26,76,51,0,1,51,76
14,a,26,39,89,64,13,20,70,95,45,32
15,a,83,57,7,10,61,86,35,48,99,73
16,a,23,16,67,92,42,29,80,54,4,5
17,a,56,81,31,43,94,69,18,24,75,100
18,a,50,37,87,62,12,9,59,84,34,46
19,a,97,72,21,15,65,91,40,28,78,53
20,a,2,1,52,77,27,39,90,65,14,20
21,a,71,96,46,33,84,58,8,11,61,87
22,a,36,49,99,74,24,17,68,93,43,30
23,a,80,55,5,3,54,79,28,41,91,66
24,a,16,22,72,98,47,35,85,60,9,6
25,a,57,82,31,44,95,69,19,13,63,88
26,a,38,25,76,50,0,0,51,76,25,38
27,a,88,63,13,19,70,95,44,32,82,57
28,a,6,10,60,85,35,47,98,73,22,16
29,a,66,92,41,29,79,54,3,5,55,81
30,a,30,43,93,68,17,24,74,100,49,36
31,a,87,62,11,8,58,84,33,46,96,71
32,a,21,14,65,90,40,27,77,52,2,2
33,a,53,78,28,40,91,66,15,21,72,97
34,a,47,34,85,59,9,12,62,88,37,50
35,a,100,75,25,18,69,94,43,31,81,56
36,a,6,4,55,80,29,42,92,67,17,23
37,a,73,99,48,36,86,61,10,7,58,83
38,a,32,45,96,70,20,14,64,89,39,26
39,a,77,51,1,0,51,76,26,38,89,64
40,a,13,19,70,95,45,32,83,57,7,10
41,a,60,86,35,48,98,73,23,16,67,92
42,a,42,29,79,54,4,5,56,81,30,43
43,a,94,68,18,24,75,100,49,37,87,62
44,a,12,8,59,84,34,46,97,71,21,15
45,a,65,90,40,27,78,53,2,1,52,77
46,a,27,39,90,64,14,20,71,96,45,33
47,a,83,58,8,11,61,86,36,49,99,74
48,a,23,17,68,93,42,30,80,55,4,3
49,a,53,79,28,41,91,66,15,22,72,98
50,a,47,34,85,60,9,6,57,82,31,44
51,a,94,69,19,12,63,88,38,25,75,50
52,a,0,0,50,76,25,38,88,63,12,19
53,a,69,94,44,31,82,57,6,9,60,85
54,a,35,47,98,72,22,16,66,91,41,28
55,a,79,53,3,5,55,80,30,42,93,68
56,a,17,23,74,99,49,36,87,61,11,8
57,a,58,83,33,46,96,71,20,14,64,90
58,a,39,27,77,52,1,2,53,78,27,40
59,a,91,65,15,21,72,97,46,34,84,59
60,a,8,12,62,87,37,50,100,75,24,18
61,a,68,94,43,31,81,56,5,4,54,79
62,a,29,42,92,67,16,23,73,98,48,35
63,a,86,61,10,7,57,83,32,45,95,70
64,a,20,13,64,89,38,26,76,51,1,1
65,a,51,77,26,39,89,64,14,20,70,96
66,a,45,33,83,58,7,10,61,86,36,48
