id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
5001,b,62,88,37,50,100,75,24,18,69,94
5002,b,43,31,81,56,6,4,54,80,29,42
5003,b,92,67,17,23,73,99,48,36,86,61
5004,b,10,7,58,83,32,45,95,70,20,13
5005,b,64,89,39,26,77,51,1,0,51,76
5006,b,26,38,89,64,13,19,70,95,45,32
5007,b,82,57,7,10,60,86,35,48,98,73
5008,b,22,16,67,92,41,29,79,54,4,5
5009,b,56,81,30,43,93,68,18,24,75,100
5010,b,49,37,87,62,11,8,59,84,34,46
5011,b,97,71,21,15,65,90,40,27,78,52
5012,b,2,1,52,77,26,39,90,64,14,20
5013,b,71,96,45,33,83,58,8,11,61,86
5014,b,36,49,99,74,23,17,67,93,42,30
5015,b,80,55,4,3,53,79,28,41,91,66
5016,b,15,22,72,97,47,34,85,60,9,6
5017,b,56,82,31,44,94,69,19,12,63,88
5018,b,37,25,75,50,0,0,50,75,25,38
5019,b,88,63,12,19,69,94,44,31,82,56
5020,b,6,9,60,85,34,47,97,72,22,15
5021,b,66,91,41,28,79,53,3,4,55,80
5022,b,30,42,93,68,17,23,74,99,49,36
5023,b,86,61,11,8,58,83,33,45,96,71
5024,b,20,14,64,90,39,26,77,52,1,2
5025,b,53,78,27,40,90,65,15,21,71,97
5026,b,46,34,84,59,8,11,62,87,37,49
5027,b,100,75,24,18,68,94,43,30,81,56
5028,b,5,4,54,79,29,41,92,67,16,23
5029,b,73,98,48,35,86,60,10,7,57,83
5030,b,32,45,95,70,19,13,64,89,38,26
5031,b,76,51,0,1,51,77,26,39,89,64
5032,b,13,20,70,96,45,32,83,58,7,10
5033,b,61,86,36,48,99,73,23,17,67,92
5034,b,42,29,80,54,4,6,56,81,31,43
5035,b,94,69,18,25,75,100,50,37,88,62
5036,b,12,9,59,84,34,47,97,72,21,15
5037,b,66,91,40,28,78,53,2,2,52,77
5038,b,27,40,90,65,14,21,71,96,46,33
5039,b,84,58,8,11,62,87,36,49,99,74
5040,b,24,17,68,93,43,30,81,55,5,3
5041,b,54,79,28,41,92,66,16,22,73,98
5042,b,47,35,85,60,10,6,57,82,32,44
5043,b,95,69,19,13,63,88,38,25,76,51
5044,b,0,0,51,76,26,38,89,63,13,19
5045,b,70,95,44,32,82,57,7,10,60,85
5046,b,35,48,98,73,22,16,67,92,41,29
5047,b,79,54,3,5,55,81,30,43,93,68
5048,b,18,24,74,100,49,37,87,62,11,8
5049,b,59,84,33,46,97,71,21,14,65,90
5050,b,40,27,78,52,2,3,53,78,28,40
5051,b,91,66,15,22,72,97,47,34,85,59
5052,b,9,12,63,88,37,50,100,75,25,18
5053,b,69,94,44,31,82,56,6,4,55,80
5054,b,29,42,93,67,17,23,74,99,48,36
5055,b,86,61,11,7,58,83,33,45,96,70
5056,b,20,14,64,89,39,26,77,52,1,1
5057,b,51,76,26,39,89,64,13,20,70,95
5058,b,45,32,83,57,7,10,61,86,35,48
5059,b,98,73,23,16,67,92,42,29,80,54
5060,b,4,5,56,81,31,43,94,68,18,24
5061,b,75,100,50,37,87,62,12,9,59,84
5062,b,34,46,97,72,21,15,65,91,40,27
5063,b,78,53,2,1,52,77,27,39,90,65
5064,b,14,20,71,96,46,33,83,58,8,11
5065,b,61,87,36,49,99,74,24,17,68,93
5066,b,42,30,80,55,5,3,54,79,28,41
5067,b,91,66,16,22,72,98,47,35,85,60
5068,b,9,6,57,82,31,44,95,69,19,12
5069,b,63,88,38,25,76,50,0,0,50,75
5070,b,25,38,88,63,12,19,69,94,44,31
5071,b,82,57,6,9,60,85,34,47,98,72
5072,b,22,16,66,91,41,28,79,53,3,4
5073,b,55,80,30,42,93,68,17,23,74,99
5074,b,49,36,87,61,11,8,58,83,33,46
5075,b,96,71,20,14,64,90,39,27,77,52
5076,b,1,2,53,78,27,40,90,65,15,21
5077,b,72,97,46,34,84,59,8,12,62,87
5078,b,37,49,100,75,24,18,68,94,43,31
5079,b,81,56,5,4,54,79,29,42,92,67
5080,b,16,23,73,98,48,35,86,61,10,7
5081,b,57,83,32,45,95,70,19,13,64,89
5082,b,38,26,76,51,1,1,51,77,26,39
5083,b,89,64,14,20,70,96,45,33,83,58
5084,b,7,10,61,86,36,48,99,74,23,17
5085,b,67,92,42,29,80,55,4,6,56,81
5086,b,31,44,94,69,18,25,75,100,50,37
5087,b,88,62,12,9,59,85,34,47,97,72
5088,b,21,15,66,91,40,28,78,53,3,2
5089,b,52,77,27,40,90,65,14,21,71,96
5090,b,46,33,84,59,8,11,62,87,36,49
5091,b,100,74,24,18,68,93,43,30,81,55
5092,b,5,3,54,79,29,41,92,66,16,22
5093,b,73,98,47,35,85,60,10,6,57,82
5094,b,32,44,95,70,19,13,63,89,38,25
5095,b,76,51,0,0,50,76,25,38,88,63
5096,b,13,19,69,95,44,32,82,57,6,9
5097,b,60,85,35,47,98,73,22,16,66,91
5098,b,41,28,79,54,3,5,55,80,30,43
5099,b,93,68,17,24,74,99,49,36,87,61
5100,b,11,8,58,84,33,46,96,71,20,14
5101,b,65,90,39,27,77,52,2,2,53,78
5102,b,28,40,91,65,15,21,72,97,47,34
5103,b,84,59,9,12,62,88,37,50,100,75
5104,b,24,18,69,94,43,31,81,56,5,4
5105,b,54,80,29,42,92,67,17,23,73,99
5106,b,48,35,86,61,10,7,58,83,32,45
5107,b,95,70,20,13,64,89,39,26,76,51
5108,b,1,0,51,76,26,38,89,63,13,19
5109,b,70,95,45,32,82,57,7,10,60,86
5110,b,35,48,98,73,22,16,67,92,41,29
5111,b,79,54,4,5,56,81,30,43,93,68
5112,b,18,24,75,100,49,37,87,62,11,8
5113,b,59,84,33,46,97,71,21,15,65,90
5114,b,40,27,78,52,2,1,52,77,26,39
5115,b,90,64,14,20,71,96,45,33,83,58
5116,b,7,11,61,86,36,48,99,74,23,17
5117,b,67,93,42,30,80,55,4,3,53,78
5118,b,28,41,91,66,15,22,72,97,47,34
5119,b,85,60,9,6,56,82,31,44,94,69
5120,b,19,12,63,88,37,25,75,50,0,0
5121,b,50,75,25,37,88,63,12,19,69,94
5122,b,44,31,82,56,6,9,60,85,34,47
5123,b,97,72,22,15,66,91,41,28,78,53
5124,b,3,4,55,80,30,42,93,67,17,23
5125,b,74,99,49,36,86,61,11,7,58,83
5126,b,33,45,96,71,20,14,64,90,39,26
5127,b,77,52,1,2,52,78,27,40,90,65
5128,b,15,21,71,97,46,34,84,59,8,11
5129,b,62,87,37,49,100,75,24,18,68,93
5130,b,43,30,81,56,5,4,54,79,29,41
