id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
10001,c,56,81,31,44,94,69,18,25,75,100
10002,c,50,37,88,62,12,9,59,85,34,47
10003,c,97,72,21,15,66,91,40,28,78,53
10004,c,3,2,52,77,27,40,90,65,14,21
10005,c,71,96,46,33,84,59,8,11,62,87
10006,c,36,49,100,74,24,18,68,93,43,30
10007,c,81,55,5,3,54,79,29,41,92,66
10008,c,16,22,73,98,47,35,85,60,10,6
10009,c,57,82,32,44,95,70,19,13,63,89
10010,c,38,25,76,51,0,0,50,76,25,38
10011,c,88,63,13,19,69,95,44,32,82,57
10012,c,6,9,60,85,35,47,98,73,22,16
10013,c,66,91,41,28,79,54,3,5,55,80
10014,c,30,43,93,68,17,24,74,99,49,36
10015,c,87,61,11,8,58,84,33,46,96,71
10016,c,20,14,65,90,39,27,77,52,2,2
10017,c,53,78,28,40,91,65,15,21,72,97
10018,c,47,34,84,59,9,12,62,88,37,50
10019,c,100,75,24,18,69,94,43,31,81,56
10020,c,5,4,54,80,29,42,92,67,17,23
10021,c,73,99,48,35,86,61,10,7,58,83
10022,c,32,45,95,70,20,13,64,89,39,26
10023,c,76,51,1,0,51,76,26,38,89,63
10024,c,13,19,70,95,45,32,82,57,7,10
10025,c,60,86,35,48,98,73,22,16,67,92
10026,c,41,29,79,54,4,5,56,81,30,43
10027,c,93,68,18,24,75,100,49,37,87,62
10028,c,11,8,59,84,33,46,97,71,21,15
10029,c,65,90,40,27,78,52,2,1,52,77
10030,c,26,39,89,64,14,20,71,96,45,33
10031,c,83,58,7,11,61,86,36,48,99,74
10032,c,23,17,67,93,42,30,80,55,4,3
10033,c,53,78,28,41,91,66,15,22,72,97
10034,c,47,34,85,60,9,6,56,82,31,44
10035,c,94,69,18,12,63,88,37,25,75,50
10036,c,0,0,50,75,25,37,88,63,12,19
10037,c,69,94,44,31,82,56,6,9,60,85
10038,c,34,47,97,72,22,15,66,91,41,28
10039,c,78,53,3,4,55,80,30,42,93,67
10040,c,17,23,74,99,48,36,86,61,11,7
10041,c,58,83,33,45,96,71,20,14,64,90
