id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
15001,d,57,82,31,44,94,69,19,12,63,88
15002,d,38,25,76,50,0,0,50,76,25,38
15003,d,88,63,13,19,69,95,44,31,82,57
15004,d,6,9,60,85,35,47,98,72,22,16
15005,d,66,91,41,28,79,54,3,5,55,80
15006,d,30,42,93,68,17,24,74,99,49,36
15007,d,87,61,11,8,58,84,33,46,96,71
15008,d,20,14,65,90,39,27,77,52,1,2
15009,d,53,78,28,40,91,65,15,21,72,97
15010,d,46,34,84,59,9,12,62,87,37,50
15011,d,100,75,24,18,69,94,43,31,81,56
15012,d,5,4,54,80,29,42,92,67,16,23
15013,d,73,99,48,35,86,61,10,7,57,83
15014,d,32,45,95,70,20,13,64,89,39,26
15015,d,76,51,1,1,52,77,26,39,89,64
15016,d,14,20,70,96,45,33,83,58,7,11
15017,d,61,86,36,48,99,74,23,17,67,93
15018,d,42,29,80,55,4,6,56,82,31,44
15019,d,94,69,18,25,75,100,50,37,88,63
15020,d,12,9,59,85,34,47,97,72,22,15
15021,d,66,91,41,28,78,53,3,2,52,78
15022,d,27,40,90,65,14,21,71,97,46,33
15023,d,84,59,8,11,62,87,37,49,100,74
15024,d,24,18,68,93,43,30,81,56,5,3
15025,d,54,79,29,41,92,67,16,22,73,98
15026,d,48,35,85,60,10,7,57,82,32,44
15027,d,95,70,19,13,63,89,38,26,76,51
15028,d,0,0,51,76,25,38,88,63,13,19
15029,d,70,95,44,32,82,57,6,10,60,85
15030,d,35,47,98,73,22,16,66,92,41,28
15031,d,79,54,3,5,55,81,30,43,93,68
15032,d,17,24,74,99,49,36,87,62,11,8
15033,d,58,84,33,46,96,71,21,14,65,90
15034,d,40,27,77,52,2,2,53,78,28,40
15035,d,91,66,15,21,72,97,47,34,85,59
15036,d,9,12,62,88,37,50,100,75,25,18
15037,d,69,94,43,31,81,56,6,4,55,80
15038,d,29,42,92,67,17,23,73,99,48,36
15039,d,86,61,10,7,58,83,32,45,96,70
15040,d,20,13,64,89,39,26,77,51,1,0
15041,d,51,76,26,38,89,64,13,19,70,95
15042,d,45,32,83,57,7,10,60,86,35,48
15043,d,98,73,23,16,67,92,42,29,79,54
15044,d,4,5,56,81,30,43,94,68,18,24
15045,d,75,100,49,37,87,62,12,8,59,84
15046,d,34,46,97,71,21,15,65,90,40,27
15047,d,78,53,2,1,52,77,27,39,90,64
15048,d,14,20,71,96,45,33,83,58,8,11
15049,d,61,86,36,49,99,74,23,17,68,93
15050,d,42,30,80,55,4,3,53,79,28,41
15051,d,91,66,15,22,72,98,47,34,85,60
15052,d,9,6,56,82,31,44,94,69,19,12
15053,d,63,88,38,25,75,50,0,0,50,75
15054,d,25,38,88,63,12,19,69,94,44,31
15055,d,82,56,6,9,60,85,34,47,97,72
15056,d,22,15,66,91,41,28,79,53,3,4
15057,d,55,80,30,42,93,67,17,23,74,99
15058,d,49,36,86,61,11,8,58,83,33,45
15059,d,96,71,20,14,64,90,39,26,77,52
15060,d,1,2,53,78,27,40,90,65,15,21
15061,d,71,97,46,34,84,59,8,11,62,87
15062,d,37,49,100,75,24,18,68,94,43,30
15063,d,81,56,5,4,54,79,29,41,92,67
15064,d,16,23,73,98,48,35,86,60,10,7
15065,d,57,82,32,45,95,70,19,13,64,89
15066,d,38,26,76,51,0,1,51,77,26,39
15067,d,89,64,13,20,70,95,45,32,83,58
15068,d,7,10,61,86,36,48,99,73,23,17
15069,d,67,92,42,29,80,54,4,6,56,81
15070,d,31,43,94,69,18,24,75,100,50,37
15071,d,88,62,12,9,59,84,34,47,97,72
15072,d,21,15,66,91,40,28,78,53,2,2
15073,d,52,77,27,39,90,65,14,21,71,96
15074,d,46,33,84,58,8,11,62,87,36,49
15075,d,99,74,24,17,68,93,43,30,81,55
15076,d,5,3,54,79,28,41,92,66,16,22
15077,d,73,98,47,35,85,60,10,6,57,82
15078,d,32,44,95,69,19,13,63,88,38,25
15079,d,76,51,0,0,51,76,25,38,89,63
15080,d,13,19,70,95,44,32,82,57,7,10
15081,d,60,85,35,48,98,73,22,16,67,92
15082,d,41,29,79,54,3,5,55,81,30,43
15083,d,93,68,18,24,74,100,49,37,87,62
15084,d,11,8,59,84,33,46,96,71,21,14
15085,d,65,90,40,27,78,52,2,3,53,78
15086,d,28,40,91,66,15,22,72,97,47,34
15087,d,85,59,9,12,63,88,37,50,100,75
15088,d,25,18,69,94,44,31,81,56,6,4
15089,d,55,80,29,42,93,67,17,23,74,99
15090,d,48,36,86,61,10,7,58,83,33,45
15091,d,96,70,20,14,64,89,39,26,77,52
15092,d,1,1,51,76,26,38,89,64,13,20
15093,d,70,95,45,32,83,57,7,10,61,86
15094,d,35,48,98,73,23,16,67,92,42,29
15095,d,80,54,4,5,56,81,31,43,94,68
15096,d,18,24,75,100,50,37,87,62,12,9
15097,d,59,84,34,46,97,72,21,15,65,91
15098,d,40,27,78,53,2,1,52,77,27,39
15099,d,90,65,14,20,71,96,46,33,83,58
15100,d,8,11,61,87,36,49,99,74,24,17
15101,d,68,93,42,30,80,55,5,3,53,79
