id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10
20001,e,53,78,28,40,91,66,15,22,72,97
20002,e,47,34,85,59,9,12,63,88,37,50
20003,e,100,75,25,18,69,94,44,31,81,56
20004,e,6,4,55,80,29,42,93,67,17,23
20005,e,74,99,48,36,86,61,10,7,58,83
20006,e,33,45,96,70,20,14,64,89,39,26
20007,e,77,52,1,1,51,76,26,38,89,64
20008,e,13,20,70,95,45,32,83,57,7,10
20009,e,61,86,35,48,98,73,23,16,67,92
20010,e,42,29,80,54,4,5,56,81,31,43
20011,e,94,68,18,24,75,100,50,37,87,62
20012,e,12,9,59,84,34,46,97,72,21,15
20013,e,65,91,40,27,78,53,2,1,52,77
20014,e,27,39,90,65,14,20,71,96,46,33
20015,e,83,58,8,11,61,87,36,49,99,74
20016,e,23,17,68,93,42,30,80,55,5,3
20017,e,53,79,28,41,91,66,16,22,72,98
20018,e,47,35,85,60,9,6,57,82,31,44
20019,e,95,69,19,12,63,88,38,25,76,50
20020,e,0,0,50,75,25,38,88,63,12,19
20021,e,69,94,44,31,82,57,6,9,60,85
20022,e,34,47,98,72,22,16,66,91,41,28
20023,e,79,53,3,4,55,80,30,42,93,68
20024,e,17,23,74,99,49,36,87,61,11,8
20025,e,58,83,33,45,96,71,20,14,64,90
20026,e,39,27,77,52,1,2,53,78,27,40
20027,e,90,65,15,21,72,97,46,34,84,59
20028,e,8,12,62,87,37,49,100,75,24,18
20029,e,68,94,43,31,81,56,5,4,54,79
20030,e,29,42,92,67,16,23,73,98,48,35
20031,e,86,60,10,7,57,83,32,45,95,70
20032,e,19,13,64,89,38,26,76,51,1,1
20033,e,51,77,26,39,89,64,14,20,70,96
20034,e,45,32,83,58,7,10,61,86,36,48
20035,e,99,73,23,17,67,92,42,29,80,55
20036,e,4,6,56,81,31,44,94,69,18,25
20037,e,75,100,50,37,88,62,12,9,59,85
20038,e,34,47,97,72,21,15,66,91,40,28
20039,e,78,53,2,2,52,77,27,40,90,65
20040,e,14,21,71,96,46,33,84,59,8,11
20041,e,62,87,36,49,100,74,24,17,68,93
20042,e,43,30,81,55,5,3,54,79,29,41
20043,e,92,66,16,22,73,98,47,35,85,60
20044,e,10,6,57,82,32,44,95,70,19,13
20045,e,63,88,38,25,76,51,0,0,50,76
20046,e,25,38,88,63,13,19,69,95,44,31
20047,e,82,57,6,9,60,85,35,47,98,73
20048,e,22,16,66,91,41,28,79,54,3,5
20049,e,55,80,30,43,93,68,17,24,74,99
20050,e,49,36,87,61,11,8,58,84,33,46
20051,e,96,71,20,14,65,90,39,27,77,52
20052,e,2,2,53,78,28,40,91,65,15,21
20053,e,72,97,46,34,84,59,9,12,62,87
20054,e,37,50,100,75,24,18,69,94,43,31
20055,e,81,56,5,4,54,80,29,42,92,67
20056,e,16,23,73,99,48,35,86,61,10,7
20057,e,58,83,32,45,95,70,20,13,64,89
20058,e,39,26,76,51,1,0,51,76,26,38
20059,e,89,63,13,19,70,95,45,32,82,57
20060,e,7,10,60,86,35,48,98,73,22,16
20061,e,67,92,41,29,79,54,3,5,56,81
20062,e,30,43,93,68,18,24,74,100,49,37
20063,e,87,62,11,8,59,84,33,46,97,71
20064,e,21,15,65,90,40,27,78,52,2,1
20065,e,52,77,26,39,89,64,14,20,71,96
20066,e,45,33,83,58,7,11,61,86,36,48
20067,e,99,74,23,17,67,93,42,30,80,55
20068,e,4,3,53,78,28,41,91,66,15,22
20069,e,72,97,47,34,85,59,9,6,56,82
20070,e,31,44,94,69,18,12,63,88,37,25
20071,e,75,50,0,0,50,75,25,37,88,63
20072,e,12,18,69,94,44,31,82,56,6,9
20073,e,60,85,34,47,97,72,22,15,66,91
20074,e,41,28,78,53,3,4,55,80,30,42
20075,e,93,67,17,23,74,99,48,36,86,61
20076,e,11,7,58,83,33,45,96,71,20,14
20077,e,64,89,39,26,77,52,1,2,52,78
20078,e,27,40,90,65,15,21,71,97,46,33
20079,e,84,59,8,11,62,87,37,49,100,74
20080,e,24,18,68,93,43,30,81,56,5,3
20081,e,54,79,29,41,92,67,16,22,73,98
20082,e,48,35,86,60,10,7,57,82,32,45
20083,e,95,70,19,13,63,89,38,26,76,51
20084,e,0,1,51,76,26,39,89,64,13,20
20085,e,70,95,45,32,83,58,7,10,61,86
20086,e,35,48,99,73,23,17,67,92,42,29
20087,e,80,54,4,5,56,81,31,43,94,69
20088,e,18,24,75,100,50,37,88,62,12,9
20089,e,59,84,34,46,97,72,21,15,65,91
20090,e,40,28,78,53,2,2,52,77,27,39
20091,e,90,65,14,20,71,96,46,33,84,58
20092,e,8,11,61,87,36,49,99,74,24,17
20093,e,68,93,43,30,80,55,5,3,54,79
20094,e,28,41,91,66,16,22,73,98,47,35
20095,e,85,60,9,6,57,82,31,44,95,69
20096,e,19,13,63,88,38,25,76,50,0,0
20097,e,51,76,25,38,88,63,13,19,70,95
20098,e,44,32,82,57,6,10,60,85,35,47
20099,e,98,73,22,16,66,92,41,29,79,54
20100,e,3,5,55,81,30,43,93,68,17,24
20101,e,74,100,49,36,87,62,11,8,59,84
20102,e,33,46,96,71,21,14,65,90,40,27
20103,e,77,52,2,3,53,78,28,40,91,66
20104,e,15,21,72,97,47,34,85,59,9,12
20105,e,62,88,37,50,100,75,25,18,69,94
20106,e,44,31,81,56,6,4,55,80,29,42
20107,e,92,67,17,23,74,99,48,36,86,61
20108,e,10,7,58,83,32,45,96,70,20,14
20109,e,64,89,39,26,77,51,1,1,51,76
20110,e,26,38,89,64,13,19,70,95,45,32
20111,e,83,57,7,10,60,86,35,48,98,73
20112,e,23,16,67,92,42,29,79,54,4,5
20113,e,56,81,31,43,94,68,18,24,75,100
20114,e,49,37,87,62,12,8,59,84,34,46
20115,e,97,72,21,15,65,90,40,27,78,53
20116,e,2,1,52,77,27,39,90,64,14,20
20117,e,71,96,46,33,83,58,8,11,61,87
20118,e,36,49,99,74,23,17,68,93,42,30
20119,e,80,55,4,3,53,79,28,41,91,66
20120,e,16,22,72,98,47,34,85,60,9,6
20121,e,57,82,31,44,94,69,19,12,63,88
20122,e,38,25,75,50,0,0,50,76,25,38
20123,e,88,63,12,19,69,95,44,31,82,57
20124,e,6,9,60,85,35,47,98,72,22,16
20125,e,66,91,41,28,79,53,3,5,55,80
20126,e,30,42,93,68,17,24,74,99,49,36
20127,e,87,61,11,8,58,83,33,46,96,71
20128,e,20,14,65,90,39,27,77,52,1,2
20129,e,53,78,27,40,91,65,15,21,72,97
20130,e,46,34,84,59,9,12,62,87,37,50
20131,e,100,75,24,18,68,94,43,31,81,56
20132,e,5,4,54,80,29,42,92,67,16,23
20133,e,73,98,48,35,86,61,10,7,57,83
20134,e,32,45,95,70,20,13,64,89,39,26
20135,e,76,51,1,1,52,77,26,39,89,64
20136,e,14,20,70,96,45,33,83,58,7,10
20137,e,61,86,36,48,99,74,23,17,67,93
20138,e,42,29,80,55,4,6,56,81,31,44
20139,e,94,69,18,25,75,100,50,37,88,63
20140,e,12,9,59,85,34,47,97,72,22,15
20141,e,66,91,40,28,78,53,3,2,52,78
20142,e,27,40,90,65,14,21,71,96,46,33
20143,e,84,59,8,11,62,87,37,49,100,74
20144,e,24,18,68,93,43,30,81,55,5,3
20145,e,54,79,29,41,92,67,16,22,73,98
20146,e,48,35,85,60,10,7,57,82,32,44
20147,e,95,70,19,13,63,89,38,25,76,51
20148,e,0,0,51,76,25,38,88,63,13,19
20149,e,69,95,44,32,82,57,6,10,60,85
20150,e,35,47,98,73,22,16,66,92,41,28
20151,e,79,54,3,5,55,81,30,43,93,68
20152,e,17,24,74,99,49,36,87,62,11,8
20153,e,58,84,33,46,96,71,21,14,65,90
20154,e,39,27,77,52,2,2,53,78,28,40
20155,e,91,66,15,21,72,97,47,34,84,59
20156,e,9,12,62,88,37,50,100,75,24,18
20157,e,69,94,43,31,81,56,6,4,54,80
20158,e,29,42,92,67,17,23,73,99,48,36
20159,e,86,61,10,7,58,83,32,45,95,70
20160,e,20,13,64,89,39,26,77,51,1,0
