id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
1,a,50,75,25,37,88,63,12,18,69,94,50,25,75,37,88,12,63,31,82,6
2,a,44,31,82,56,6,9,59,85,34,47,56,18,69,44,94,47,97,22,72,9
3,a,97,72,22,15,66,91,41,28,78,53,59,34,85,15,66,41,91,28,78,3
4,a,3,4,55,80,29,42,93,67,17,23,53,26,77,1,52,14,64,39,89,7
5,a,74,99,48,36,86,61,11,7,58,83,58,33,83,45,96,20,71,23,74,48
6,a,33,45,96,71,20,14,64,89,39,26,99,36,86,11,61,42,93,17,67,4
7,a,77,52,1,2,52,78,27,40,90,65,55,29,80,40,90,14,65,2,52,27
8,a,14,21,71,97,46,33,84,59,8,11,78,21,71,46,97,33,84,8,59,11
9,a,62,87,37,49,100,74,24,18,68,93,62,37,87,49,100,24,74,30,81,5
10,a,43,30,81,56,5,3,54,79,29,41,56,18,68,43,93,13,63,38,89,26
11,a,92,67,16,22,73,98,48,35,86,60,76,0,51,44,95,19,70,7,57,32
12,a,10,7,57,82,32,44,95,70,19,13,82,35,86,10,60,22,73,48,98,3
13,a,63,89,38,26,76,51,0,1,51,76,54,29,79,41,92,16,67,33,84,8
14,a,26,39,89,64,13,20,70,95,45,32,58,20,71,46,96,1,52,27,77,39
15,a,83,57,7,10,61,86,35,48,99,73,90,14,65,17,68,43,93,30,80,5
16,a,23,16,67,92,42,29,80,54,4,5,55,49,99,24,74,11,61,36,87,6
17,a,56,81,31,43,94,69,18,24,75,100,57,31,82,44,95,19,69,25,76,0
18,a,50,37,87,62,12,9,59,84,34,46,50,13,63,38,88,41,91,16,66,3
19,a,97,72,21,15,65,91,40,28,78,53,54,28,79,22,72,47,98,35,85,9
20,a,2,1,52,77,27,39,90,65,14,20,60,20,70,45,95,32,83,7,57,39
21,a,71,96,46,33,84,58,8,11,61,87,89,13,64,1,51,26,76,29,80,4
22,a,36,49,99,74,24,17,68,93,43,30,54,16,67,42,92,10,61,35,86,48
23,a,80,55,5,3,54,79,28,41,91,66,99,23,73,46,97,21,72,9,59,34
24,a,16,22,72,98,47,35,85,60,9,6,84,15,65,40,91,28,78,2,53,5
25,a,57,82,31,44,95,69,19,13,63,88,56,31,81,43,94,18,69,37,87,12
26,a,38,25,76,50,0,0,51,76,25,38,62,24,75,50,100,50,100,25,75,12
27,a,88,63,13,19,70,95,44,32,82,57,62,37,88,18,69,43,94,31,81,6
28,a,6,10,60,85,35,47,98,73,22,16,56,2,53,28,78,40,91,15,66,34
29,a,66,92,41,29,79,54,3,5,55,81,85,9,59,21,72,47,97,23,73,48
30,a,30,43,93,68,17,24,74,100,49,36,99,36,86,10,61,42,92,17,67,4
31,a,87,62,11,8,58,84,33,46,96,71,55,29,80,26,77,1,51,14,64,39
32,a,21,14,65,90,40,27,77,52,2,2,89,7,58,32,83,45,96,20,70,10
33,a,53,78,28,40,91,66,15,21,72,97,60,35,85,47,98,22,73,29,79,3
34,a,47,34,85,59,9,12,62,88,37,50,54,16,66,41,92,38,88,13,63,0
35,a,100,75,25,18,69,94,43,31,81,56,51,25,76,19,70,44,95,32,82,6
36,a,6,4,55,80,29,42,92,67,17,23,57,36,87,11,62,24,74,49,100,5
37,a,73,99,48,36,86,61,10,7,58,83,55,30,81,43,93,17,68,14,65,40
38,a,32,45,96,70,20,14,64,89,39,26,90,27,77,2,52,46,96,21,71,8
39,a,77,51,1,0,51,76,26,38,89,64,58,33,84,16,67,42,92,29,79,4
40,a,13,19,70,95,45,32,83,57,7,10,54,48,98,23,73,10,60,35,86,32
41,a,60,86,35,48,98,73,23,16,67,92,83,7,57,19,70,45,95,0,51,26
42,a,42,29,79,54,4,5,56,81,30,43,76,38,89,13,64,43,94,18,68,5
43,a,94,68,18,24,75,100,49,37,87,62,56,30,81,24,75,49,100,37,87,12
44,a,12,8,59,84,34,46,97,71,21,15,62,8,59,34,84,46,97,21,71,27
45,a,65,90,40,27,78,53,2,1,52,77,78,2,53,15,65,40,90,30,80,4
46,a,27,39,90,64,14,20,71,96,45,33,55,17,68,42,93,11,61,36,86,49
47,a,83,58,8,11,61,86,36,49,99,74,99,23,74,20,71,45,96,33,83,8
48,a,23,17,68,93,42,30,80,55,4,3,58,39,90,14,64,1,52,27,77,3
49,a,53,79,28,41,91,66,15,22,72,98,53,28,79,41,91,15,66,34,85,9
50,a,47,34,85,60,9,6,57,82,31,44,60,22,72,47,98,44,94,19,69,6
51,a,94,69,19,12,63,88,38,25,75,50,57,31,82,12,63,38,88,25,75,0
52,a,0,0,50,76,25,38,88,63,12,19,50,25,75,0,50,12,63,37,88,6
53,a,69,94,44,31,82,57,6,9,60,85,56,31,82,44,94,19,69,22,72,47
54,a,35,47,98,72,22,16,66,91,41,28,97,34,85,9,60,41,91,15,66,3
55,a,79,53,3,5,55,80,30,42,93,68,53,28,78,1,52,26,77,39,90,14
56,a,17,23,74,99,49,36,87,61,11,8,64,33,83,7,58,20,71,45,96,49
57,a,58,83,33,46,96,71,20,14,64,90,99,23,74,11,61,36,86,17,67,42
58,a,39,27,77,52,1,2,53,78,27,40,93,30,80,4,55,15,65,40,90,27
59,a,91,65,15,21,72,97,46,34,84,59,78,2,52,46,97,21,71,8,59,34
60,a,8,12,62,87,37,50,100,75,24,18,84,37,87,11,62,24,75,49,100,5
61,a,68,94,43,31,81,56,5,4,54,79,56,30,81,43,93,18,68,38,89,13
62,a,29,42,92,67,16,23,73,98,48,35,64,0,51,26,76,19,70,45,95,32
63,a,86,61,10,7,57,83,32,45,95,70,82,7,57,10,60,35,86,48,98,22
64,a,20,13,64,89,38,26,76,51,1,1,73,29,79,4,54,16,67,41,92,8
65,a,51,77,26,39,89,64,14,20,70,96,58,33,84,46,96,21,71,27,77,2
66,a,45,33,83,58,7,10,61,86,36,48,52,14,65,39,90,43,93,17,68,5
67,a,99,74,23,17,67,93,42,29,80,55,55,30,80,24,74,49,99,36,87,11
68,a,4,6,56,81,31,44,94,69,18,25,62,32,82,6,57,19,69,44,95,0
69,a,75,100,50,37,88,63,12,9,59,85,50,25,76,38,88,13,63,16,66,41
70,a,34,47,97,72,22,15,66,91,40,28,92,28,79,3,54,47,98,22,73,9
71,a,78,53,3,2,52,78,27,40,90,65,60,35,85,45,95,20,70,7,58,32
72,a,14,21,71,96,46,33,84,59,8,11,83,13,64,39,89,26,77,1,51,4
73,a,62,87,36,49,100,74,24,18,68,93,54,29,80,42,92,17,67,36,86,10
74,a,43,30,81,55,5,3,54,79,29,41,61,23,73,48,99,21,72,47,97,34
75,a,92,66,16,22,73,98,48,35,85,60,84,9,59,40,91,15,65,2,53,28
76,a,10,7,57,82,32,44,95,70,19,13,78,31,81,6,56,18,69,43,94,12
77,a,63,89,38,25,76,51,0,0,50,76,62,37,88,50,100,24,75,25,75,50
78,a,25,38,88,63,13,19,69,95,44,32,100,37,88,12,63,44,94,18,69,6
79,a,82,57,6,9,60,85,35,47,98,73,56,31,81,28,78,3,53,15,66,40
80,a,22,16,66,92,41,28,79,54,3,5,91,9,59,34,85,47,97,22,72,48
81,a,55,80,30,43,93,68,17,24,74,99,99,23,74,10,61,36,86,17,67,42
82,a,49,36,87,62,11,8,58,84,33,46,93,29,80,4,55,1,51,26,77,39
83,a,96,71,21,14,65,90,39,27,77,52,89,14,64,33,83,7,58,20,70,45
84,a,2,2,53,78,28,40,91,65,15,21,96,35,85,10,60,22,73,48,98,3
85,a,72,97,47,34,84,59,9,12,62,88,54,29,79,41,92,16,66,13,63,38
86,a,37,50,100,75,24,18,69,94,43,31,89,25,76,0,51,44,95,19,70,7
87,a,81,56,6,4,54,80,29,42,92,67,57,32,82,11,62,36,87,49,100,24
88,a,17,23,73,99,48,36,86,61,10,7,74,30,81,5,55,18,68,43,93,40
89,a,58,83,32,45,95,70,20,13,64,89,90,14,65,2,52,27,78,21,71,46
90,a,39,26,77,51,1,0,51,76,26,38,96,33,84,8,59,42,92,16,67,4
91,a,89,64,13,19,70,95,45,32,82,57,54,29,79,23,73,48,98,35,86,10
92,a,7,10,60,86,35,48,98,73,22,16,61,7,57,32,83,45,95,20,70,26
93,a,67,92,41,29,79,54,4,5,56,81,76,1,51,13,64,38,89,18,68,43
94,a,30,43,93,68,18,24,75,100,49,37,94,31,81,5,56,50,100,24,75,12
95,a,87,62,11,8,59,84,34,46,97,71,62,37,87,34,84,8,59,21,72,46
96,a,21,15,65,90,40,27,78,52,2,1,97,2,53,27,78,40,91,15,65,5
97,a,52,77,26,39,90,64,14,20,71,96,55,30,80,42,93,17,68,36,87,11
98,a,45,33,83,58,7,11,61,86,36,49,61,23,74,49,99,46,96,20,71,8
99,a,99,74,23,17,67,93,42,30,80,55,58,33,83,14,64,39,90,27,77,1
100,a,4,3,53,78,28,41,91,66,15,22,52,28,79,3,53,16,66,41,91,9
101,a,72,97,47,34,85,60,9,6,56,82,60,35,85,47,98,22,72,19,69,44
102,a,31,44,94,69,19,12,63,88,37,25,94,31,82,6,57,38,88,12,63,0
103,a,75,50,0,0,50,75,25,38,88,63,50,25,76,38,88,12,63,0,50,25
104,a,12,19,69,94,44,31,82,56,6,9,75,19,69,44,94,31,82,6,56,9
105,a,60,85,34,47,97,72,22,15,66,91,60,34,85,47,97,22,72,28,79,3
106,a,41,28,79,53,3,4,55,80,30,42,53,15,66,41,91,14,64,39,90,26
107,a,93,68,17,23,74,99,49,36,86,61,77,1,52,45,96,20,71,8,58,33
108,a,11,8,58,83,33,45,96,71,20,14,83,36,86,11,61,23,74,49,99,4
109,a,64,90,39,26,77,52,1,2,53,78,55,30,80,42,93,17,68,2,53,27
110,a,27,40,90,65,15,21,71,97,46,34,78,40,90,15,65,34,84,8,59,21
111,a,84,59,8,11,62,87,37,49,100,75,71,46,97,49,100,24,75,11,62,37
112,a,24,18,68,94,43,30,81,56,5,4,87,18,68,43,94,30,81,5,56,26
113,a,54,79,29,41,92,67,16,23,73,98,76,0,51,13,64,38,89,7,57,32
114,a,48,35,86,60,10,7,57,82,32,45,82,45,95,19,70,23,73,48,98,35
115,a,95,70,19,13,64,89,38,26,76,51,86,10,60,41,92,16,67,4,54,29
116,a,0,1,51,77,26,39,89,64,13,20,79,21,71,46,96,33,84,8,58,39
117,a,70,96,45,32,83,58,7,10,61,86,90,14,65,2,52,27,77,30,81,5
118,a,36,48,99,73,23,17,67,92,42,29,55,17,68,43,93,11,62,36,87,49
119,a,80,54,4,6,56,81,31,43,94,69,99,24,74,44,95,19,69,6,57,32
120,a,18,25,75,100,50,37,88,62,12,9,82,13,63,38,88,25,76,0,51,3
121,a,59,84,34,47,97,72,21,15,66,91,54,28,79,41,92,16,66,35,85,10
122,a,40,28,78,53,2,2,52,77,27,39,60,22,73,47,98,32,83,7,58,20
123,a,90,65,14,21,71,96,46,33,84,58,70,45,96,1,51,26,77,39,89,13
124,a,8,11,62,87,36,49,99,74,24,17,64,17,67,42,92,29,80,4,54,48
125,a,68,93,43,30,81,55,5,3,54,79,99,23,73,10,61,36,86,9,59,34
126,a,28,41,92,66,16,22,73,98,47,35,84,47,97,21,72,28,78,2,53,15
127,a,85,60,10,6,57,82,32,44,95,69,66,40,91,43,94,18,69,6,56,31
128,a,19,13,63,88,38,25,76,51,0,0,81,25,75,50,100,37,88,12,62,12
129,a,51,76,25,38,89,63,13,19,70,95,63,37,88,50,100,25,75,31,82,6
130,a,44,32,82,57,7,10,60,85,35,48,56,18,69,44,94,40,91,15,66,3
131,a,98,73,22,16,67,92,41,29,79,54,53,28,78,22,72,47,97,34,85,9
132,a,3,5,55,81,30,43,93,68,18,24,59,36,86,11,61,23,74,48,99,4
