id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
5001,b,62,88,37,50,100,75,24,18,69,94,57,32,83,45,95,20,70,26,76,1
5002,b,43,31,81,56,6,4,54,80,29,42,51,13,64,39,89,18,69,43,94,31
5003,b,92,67,17,23,73,99,48,36,86,61,81,5,56,50,100,24,75,12,62,37
5004,b,10,7,58,83,32,45,95,70,20,13,87,34,84,9,59,21,72,46,97,2
5005,b,64,89,39,26,77,51,1,0,51,76,53,27,78,40,91,15,65,35,85,10
5006,b,26,38,89,64,13,19,70,95,45,32,60,22,73,48,98,3,54,29,79,41
5007,b,82,57,7,10,60,86,35,48,98,73,92,16,67,13,63,38,89,26,76,0
5008,b,22,16,67,92,41,29,79,54,4,5,51,44,95,19,70,7,57,32,82,11
5009,b,56,81,30,43,93,68,18,24,75,100,62,37,87,49,100,24,74,30,81,5
5010,b,49,37,87,62,11,8,59,84,34,46,56,18,68,43,93,40,90,14,65,2
5011,b,97,71,21,15,65,90,40,27,78,52,52,27,78,21,71,46,97,33,84,8
5012,b,2,1,52,77,26,39,90,64,14,20,59,25,75,50,100,37,88,12,63,44
5013,b,71,96,45,33,83,58,8,11,61,86,94,18,69,6,56,31,82,28,78,3
5014,b,36,49,99,74,23,17,67,93,42,30,53,15,66,41,91,9,59,34,85,47
5015,b,80,55,4,3,53,79,28,41,91,66,97,22,72,48,99,23,74,11,61,36
5016,b,15,22,72,97,47,34,85,60,9,6,86,17,67,42,93,29,80,4,55,1
5017,b,56,82,31,44,94,69,19,12,63,88,52,26,77,39,89,14,64,33,83,7
5018,b,37,25,75,50,0,0,50,75,25,38,58,20,70,45,96,32,83,7,58,20
5019,b,88,63,12,19,69,94,44,31,82,56,70,45,95,1,51,26,77,39,89,13
5020,b,6,9,60,85,34,47,97,72,22,15,64,17,67,42,92,29,80,4,54,48
5021,b,66,91,41,28,79,53,3,4,55,80,99,23,73,10,61,36,86,9,59,34
5022,b,30,42,93,68,17,23,74,99,49,36,84,47,97,21,72,28,78,2,53,15
5023,b,86,61,11,8,58,83,33,45,96,71,66,40,91,43,94,18,69,6,56,31
5024,b,20,14,64,90,39,26,77,52,1,2,81,24,75,50,100,37,88,12,62,21
5025,b,53,78,27,40,90,65,15,21,71,97,71,46,96,33,84,8,58,39,90,14
5026,b,46,34,84,59,8,11,62,87,37,49,65,2,52,27,77,30,81,5,55,17
5027,b,100,75,24,18,68,94,43,30,81,56,68,43,93,11,62,36,87,49,99,24
5028,b,5,4,54,79,29,41,92,67,16,23,74,44,95,19,69,6,57,32,82,13
5029,b,73,98,48,35,86,60,10,7,57,83,63,38,88,25,76,0,51,3,54,28
5030,b,32,45,95,70,19,13,64,89,38,26,79,41,92,16,66,35,85,9,60,22
5031,b,76,51,0,1,51,77,26,39,89,64,73,47,98,2,52,27,78,40,90,15
5032,b,13,20,70,96,45,32,83,58,7,10,65,34,84,8,59,21,71,46,97,49
