id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
10001,c,56,81,31,44,94,69,18,25,75,100,61,36,86,48,99,23,73,29,80,4
10002,c,50,37,88,62,12,9,59,85,34,47,55,17,67,42,92,39,89,14,64,1
10003,c,97,72,21,15,66,91,40,28,78,53,51,26,77,20,70,45,96,32,83,7
10004,c,3,2,52,77,27,40,90,65,14,21,58,22,73,47,98,35,85,10,60,41
10005,c,71,96,46,33,84,59,8,11,62,87,92,16,66,3,54,29,79,25,76,0
10006,c,36,49,100,74,24,18,68,93,43,30,51,13,63,38,88,6,57,32,82,44
10007,c,81,55,5,3,54,79,29,41,92,66,95,19,70,49,100,24,74,11,62,36
10008,c,16,22,73,98,47,35,85,60,10,6,87,17,68,43,93,30,81,5,55,2
10009,c,57,82,32,44,95,70,19,13,63,89,52,27,77,40,90,14,65,33,84,8
10010,c,38,25,76,51,0,0,50,76,25,38,58,21,71,46,96,46,96,20,71,8
10011,c,88,63,13,19,69,95,44,32,82,57,58,33,84,14,65,39,90,27,77,1
10012,c,6,9,60,85,35,47,98,73,22,16,52,5,55,30,80,43,93,17,68,36
10013,c,66,91,41,28,79,54,3,5,55,80,87,11,61,24,74,49,99,19,69,44
10014,c,30,43,93,68,17,24,74,99,49,36,95,31,82,6,57,38,88,13,63,0
10015,c,87,61,11,8,58,84,33,46,96,71,50,25,76,28,79,3,54,16,66,41
10016,c,20,14,65,90,39,27,77,52,2,2,91,9,60,35,85,47,98,22,73,7
10017,c,53,78,28,40,91,65,15,21,72,97,58,32,83,45,95,20,70,26,76,1
10018,c,47,34,84,59,9,12,62,88,37,50,51,13,64,39,89,42,92,16,67,4
10019,c,100,75,24,18,69,94,43,31,81,56,54,29,80,23,73,48,99,35,86,10
10020,c,5,4,54,80,29,42,92,67,17,23,61,34,84,9,59,21,72,46,97,2
10021,c,73,99,48,35,86,61,10,7,58,83,53,28,78,40,91,15,65,18,69,43
10022,c,32,45,95,70,20,13,64,89,39,26,94,31,81,5,56,50,100,24,75,12
10023,c,76,51,1,0,51,76,26,38,89,63,62,37,87,12,63,37,88,25,75,0
10024,c,13,19,70,95,45,32,82,57,7,10,50,44,94,18,69,6,56,31,82,34
10025,c,60,86,35,48,98,73,22,16,67,92,85,9,59,22,72,47,97,3,53,28
10026,c,41,29,79,54,4,5,56,81,30,43,78,41,91,15,66,39,89,14,64,1
10027,c,93,68,18,24,75,100,49,37,87,62,52,26,77,20,71,45,96,33,83,7
10028,c,11,8,59,84,33,46,97,71,21,15,58,11,61,36,86,48,99,23,74,30
10029,c,65,90,40,27,78,52,2,1,52,77,80,4,55,17,67,42,93,27,78,2
10030,c,26,39,89,64,14,20,71,96,45,33,52,15,65,40,90,8,59,33,84,46
10031,c,83,58,7,11,61,86,36,48,99,74,97,21,71,24,74,49,100,37,87,11
10032,c,23,17,67,93,42,30,80,55,4,3,62,43,93,18,68,5,56,30,81,0
10033,c,53,78,28,41,91,66,15,22,72,97,51,26,76,38,89,13,63,32,82,7
10034,c,47,34,85,60,9,6,56,82,31,44,57,19,70,44,95,48,98,22,73,10
10035,c,94,69,18,12,63,88,37,25,75,50,60,35,86,16,67,41,92,29,79,3
10036,c,0,0,50,75,25,37,88,63,12,19,54,48,99,23,73,10,61,35,86,16
10037,c,69,94,44,31,82,56,6,9,60,85,67,42,92,29,80,4,54,1,51,26
10038,c,34,47,97,72,22,15,66,91,41,28,76,39,89,13,64,32,83,7,57,20
10039,c,78,53,3,4,55,80,30,42,93,67,70,45,95,24,75,50,100,37,87,12
10040,c,17,23,74,99,48,36,86,61,11,7,62,43,94,18,69,5,56,31,81,28
10041,c,58,83,33,45,96,71,20,14,64,90,78,2,53,15,65,40,91,9,59,34
10042,c,39,26,77,52,1,2,52,78,27,40,84,46,97,21,72,11,61,36,87,49
10043,c,90,65,15,21,71,97,46,34,84,59,99,24,74,30,80,5,55,17,68,42
10044,c,8,11,62,87,37,49,100,75,24,18,93,39,90,14,65,1,52,27,77,20
10045,c,68,93,43,30,81,56,5,4,54,79,71,46,96,33,84,8,58,35,85,9
10046,c,29,41,92,67,16,22,73,98,48,35,60,22,72,47,98,3,54,28,79,41
10047,c,86,60,10,7,57,82,32,45,95,70,91,16,66,13,63,38,88,25,76,0
10048,c,19,13,63,89,38,26,76,51,0,1,50,44,95,19,69,6,57,31,82,18
10049,c,51,77,26,39,89,64,13,20,70,95,69,44,94,31,82,6,56,50,100,25
10050,c,45,32,83,58,7,10,61,86,35,48,75,12,63,37,88,34,85,9,59,22
10051,c,99,73,23,17,67,92,42,29,80,54,72,47,97,3,53,28,78,41,91,15
10052,c,4,6,56,81,31,43,94,69,18,24,66,42,93,17,67,4,55,29,80,23
10053,c,75,100,50,37,88,62,12,9,59,84,74,48,99,36,86,11,61,7,58,33
10054,c,34,47,97,72,21,15,65,91,40,28,83,45,96,20,71,26,77,1,52,14
10055,c,78,53,2,2,52,77,27,39,90,65,64,39,89,29,79,3,54,16,67,41
10056,c,14,20,71,96,46,33,84,58,8,11,92,10,60,35,85,48,98,22,73,19
10057,c,62,87,36,49,99,74,24,17,68,93,70,44,95,32,82,7,57,38,89,13
10058,c,43,30,80,55,5,3,54,79,28,41,63,0,51,26,76,5,56,30,81,43
10059,c,91,66,16,22,73,98,47,35,85,60,93,18,68,37,87,11,62,24,74,49
10060,c,9,6,57,82,32,44,95,69,19,13,100,46,97,21,71,8,59,33,84,14
10061,c,63,88,38,25,76,50,0,0,51,76,65,40,90,27,78,2,52,2,52,27
10062,c,25,38,89,63,13,19,70,95,44,32,77,40,90,14,65,33,84,8,58,21
10063,c,82,57,6,10,60,85,35,48,98,73,71,46,96,49,99,24,74,11,62,36
10064,c,22,16,66,92,41,29,79,54,3,5,87,17,68,43,93,30,81,5,55,25
10065,c,55,81,30,43,93,68,18,24,74,100,76,0,51,13,63,38,88,6,57,32
10066,c,49,36,87,62,11,8,59,84,33,46,82,44,95,19,70,22,73,47,98,35
10067,c,96,71,21,14,65,90,40,27,77,52,85,10,60,41,92,16,66,3,54,28
10068,c,2,3,53,78,28,40,91,66,15,21,79,39,89,14,64,1,51,26,77,20
10069,c,72,97,47,34,85,59,9,12,63,88,70,45,96,32,83,7,58,10,61,36
10070,c,37,50,100,75,25,18,69,94,44,31,86,48,99,23,73,29,80,4,55,17
10071,c,81,56,6,4,55,80,29,42,92,67,67,42,92,15,66,40,91,28,78,2
10072,c,17,23,74,99,48,36,86,61,10,7,53,47,97,21,72,9,59,34,85,37
10073,c,58,83,33,45,96,70,20,14,64,89,88,12,62,25,75,50,100,6,56,31
10074,c,39,26,77,51,1,1,51,76,26,38,81,43,94,18,69,31,82,6,57,19
10075,c,89,64,13,20,70,95,45,32,83,57,69,44,94,0,50,25,75,38,88,12
10076,c,7,10,61,86,35,48,98,73,23,16,63,15,66,41,91,28,79,3,53,47
10077,c,67,92,42,29,79,54,4,5,56,81,98,22,72,9,60,34,85,8,58,33
10078,c,31,43,94,68,18,24,75,100,49,37,83,45,96,20,71,27,77,1,52,14
10079,c,87,62,12,8,59,84,34,46,97,72,64,39,90,42,93,17,68,4,55,30
10080,c,21,15,65,91,40,27,78,53,2,1,80,23,74,49,99,36,86,11,61,21
10081,c,52,77,27,39,90,64,14,20,71,96,71,46,97,34,84,8,59,40,90,15
10082,c,46,33,83,58,8,11,61,87,36,49,65,2,53,27,78,30,81,5,56,18
