id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
15001,d,57,82,31,44,94,69,19,12,63,88,53,27,78,40,91,15,65,34,84,8
15002,d,38,25,76,50,0,0,50,76,25,38,59,21,72,46,97,21,71,46,97,34
15003,d,88,63,13,19,69,95,44,31,82,57,84,8,59,40,90,15,65,2,53,27
15004,d,6,9,60,85,35,47,98,72,22,16,78,30,81,5,56,18,68,43,94,12
15005,d,66,91,41,28,79,54,3,5,55,80,62,37,87,49,100,24,75,45,95,19
15006,d,30,42,93,68,17,24,74,99,49,36,70,7,57,32,83,13,64,38,89,26
15007,d,87,61,11,8,58,84,33,46,96,71,76,0,51,4,54,29,79,42,92,16
15008,d,20,14,65,90,39,27,77,52,1,2,67,35,86,10,60,23,73,48,98,31
15009,d,53,78,28,40,91,65,15,21,72,97,82,6,56,19,69,44,94,0,50,25
15010,d,46,34,84,59,9,12,62,87,37,50,75,38,88,12,63,15,66,41,91,28
15011,d,100,75,24,18,69,94,43,31,81,56,79,3,53,47,98,22,72,9,60,34
15012,d,5,4,54,80,29,42,92,67,16,23,85,8,58,33,83,45,96,20,71,27
15013,d,73,99,48,35,86,61,10,7,57,83,77,1,52,14,64,39,90,42,93,17
15014,d,32,45,95,70,20,13,64,89,39,26,68,4,55,30,80,23,74,49,99,36
15015,d,76,51,1,1,52,77,26,39,89,64,86,11,61,39,89,13,64,1,51,26
15016,d,14,20,70,96,45,33,83,58,7,11,77,20,70,45,96,32,83,7,58,10
15017,d,61,86,36,48,99,74,23,17,67,93,61,36,86,48,99,23,73,29,80,4
15018,d,42,29,80,55,4,6,56,82,31,44,55,17,67,42,92,15,66,40,91,28
15019,d,94,69,18,25,75,100,50,37,88,63,78,2,53,47,97,21,72,9,59,34
15020,d,12,9,59,85,34,47,97,72,22,15,84,37,88,12,62,25,75,50,100,6
15021,d,66,91,41,28,78,53,3,2,52,78,56,31,81,43,94,18,69,2,52,27
15022,d,27,40,90,65,14,21,71,97,46,33,77,40,90,14,65,33,84,8,58,21
15023,d,84,59,8,11,62,87,37,49,100,74,71,46,96,49,99,24,74,11,62,36
15024,d,24,18,68,93,43,30,81,56,5,3,87,17,68,43,93,30,81,5,55,25
15025,d,54,79,29,41,92,67,16,22,73,98,76,0,51,13,63,38,88,6,57,32
15026,d,48,35,85,60,10,7,57,82,32,44,82,44,95,19,70,22,73,47,98,35
15027,d,95,70,19,13,63,89,38,26,76,51,85,10,60,41,92,16,66,3,54,28
15028,d,0,0,51,76,25,38,88,63,13,19,79,29,79,3,54,16,67,41,92,10
15029,d,70,95,44,32,82,57,6,10,60,85,60,35,85,48,98,22,73,19,70,44
15030,d,35,47,98,73,22,16,66,92,41,28,95,32,82,7,57,38,89,13,63,0
15031,d,79,54,3,5,55,81,30,43,93,68,51,26,76,5,56,30,81,43,93,18
15032,d,17,24,74,99,49,36,87,62,11,8,68,37,87,11,62,24,74,49,100,46
15033,d,58,84,33,46,96,71,21,14,65,90,97,21,71,8,59,33,84,14,65,40
15034,d,40,27,77,52,2,2,53,78,28,40,90,27,78,2,52,18,69,44,94,31
15035,d,91,66,15,21,72,97,47,34,85,59,82,6,56,50,100,25,75,12,63,37
15036,d,9,12,62,88,37,50,100,75,25,18,88,34,85,9,59,22,72,47,97,3
15037,d,69,94,43,31,81,56,6,4,55,80,53,28,78,41,91,15,66,42,93,17
15038,d,29,42,92,67,17,23,73,99,48,36,67,4,55,29,80,23,74,48,99,36
15039,d,86,61,10,7,58,83,32,45,96,70,86,11,61,7,58,33,83,45,96,20
15040,d,20,13,64,89,39,26,77,51,1,0,70,26,77,1,52,14,64,39,89,11
15041,d,51,76,26,38,89,64,13,19,70,95,61,36,87,49,99,24,74,30,80,5
15042,d,45,32,83,57,7,10,60,86,35,48,55,17,68,42,93,39,90,14,65,1
15043,d,98,73,23,16,67,92,42,29,79,54,52,27,77,20,71,46,96,33,84,8
15044,d,4,5,56,81,30,43,94,68,18,24,58,35,85,9,60,22,72,47,98,3
15045,d,75,100,49,37,87,62,12,8,59,84,54,28,79,41,91,16,66,13,63,38
15046,d,34,46,97,71,21,15,65,90,40,27,88,25,76,0,50,44,95,19,69,6
15047,d,78,53,2,1,52,77,27,39,90,64,57,31,82,48,99,23,73,10,61,35
15048,d,14,20,71,96,45,33,83,58,8,11,86,16,67,42,92,29,80,4,54,1
15049,d,61,86,36,49,99,74,23,17,68,93,51,26,76,39,89,13,64,32,83,7
15050,d,42,30,80,55,4,3,53,79,28,41,57,20,70,45,95,24,75,50,100,37
15051,d,91,66,15,22,72,98,47,34,85,60,87,12,62,43,94,18,69,5,56,31
15052,d,9,6,56,82,31,44,94,69,19,12,81,28,78,2,53,15,65,40,91,9
15053,d,63,88,38,25,75,50,0,0,50,75,59,34,84,46,97,21,72,8,59,34
