id,sobol_block,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10
20001,e,53,78,28,40,91,66,15,22,72,97,59,34,84,46,97,21,71,27,78,2
20002,e,47,34,85,59,9,12,63,88,37,50,52,15,65,40,90,43,94,18,68,5
20003,e,100,75,25,18,69,94,44,31,81,56,56,30,81,24,75,49,100,37,87,11
20004,e,6,4,55,80,29,42,93,67,17,23,62,32,82,7,57,19,70,45,95,0
20005,e,74,99,48,36,86,61,10,7,58,83,51,26,76,38,89,13,64,16,67,41
20006,e,33,45,96,70,20,14,64,89,39,26,92,29,79,4,54,48,98,23,73,10
20007,e,77,52,1,1,51,76,26,38,89,64,60,35,86,14,65,39,90,27,77,2
20008,e,13,20,70,95,45,32,83,57,7,10,52,46,96,21,71,8,58,33,84,36
20009,e,61,86,35,48,98,73,23,16,67,92,87,11,62,24,74,49,99,5,55,30
20010,e,42,29,80,54,4,5,56,81,31,43,80,43,93,17,68,38,88,13,63,0
20011,e,94,68,18,24,75,100,50,37,87,62,51,25,76,19,69,44,95,32,82,6
20012,e,12,9,59,84,34,46,97,72,21,15,57,9,60,35,85,47,98,22,73,28
20013,e,65,91,40,27,78,53,2,1,52,77,79,3,54,16,66,41,92,26,77,1
20014,e,27,39,90,65,14,20,71,96,46,33,51,13,64,39,89,7,58,32,83,45
20015,e,83,58,8,11,61,87,36,49,99,74,95,20,70,23,73,48,99,36,86,10
20016,e,23,17,68,93,42,30,80,55,5,3,61,42,92,17,67,4,54,29,80,2
20017,e,53,79,28,41,91,66,16,22,72,98,53,28,78,40,91,15,66,34,84,9
20018,e,47,35,85,60,9,6,57,82,31,44,59,21,72,47,97,50,100,24,75,12
20019,e,95,69,19,12,63,88,38,25,76,50,62,37,88,18,69,43,94,31,81,6
20020,e,0,0,50,75,25,38,88,63,12,19,56,31,81,6,56,18,69,44,94,12
20021,e,69,94,44,31,82,57,6,9,60,85,62,37,88,50,100,25,75,21,72,47
20022,e,34,47,98,72,22,16,66,91,41,28,97,34,85,9,59,40,91,15,66,2
20023,e,79,53,3,4,55,80,30,42,93,68,53,28,78,4,55,29,80,42,92,17
20024,e,17,23,74,99,49,36,87,61,11,8,67,36,86,10,61,23,73,48,99,45
20025,e,58,83,33,45,96,71,20,14,64,90,96,20,70,7,58,32,83,14,64,39
20026,e,39,27,77,52,1,2,53,78,27,40,89,26,77,1,51,16,66,41,92,29
20027,e,90,65,15,21,72,97,46,34,84,59,79,3,54,47,98,22,73,10,60,35
20028,e,8,12,62,87,37,49,100,75,24,18,85,32,82,6,57,19,70,44,95,0
20029,e,68,94,43,31,81,56,5,4,54,79,51,25,76,38,88,13,63,43,93,17
20030,e,29,42,92,67,16,23,73,98,48,35,68,5,55,30,81,24,74,49,100,36
20031,e,86,60,10,7,57,83,32,45,95,70,87,11,62,8,59,33,84,46,96,21
20032,e,19,13,64,89,38,26,76,51,1,1,71,27,77,2,52,14,65,40,90,10
20033,e,51,77,26,39,89,64,14,20,70,96,60,35,86,48,98,23,73,29,79,4
20034,e,45,32,83,58,7,10,61,86,36,48,54,16,67,42,92,38,89,13,64,1
20035,e,99,73,23,17,67,92,42,29,80,55,51,26,76,19,70,45,95,32,83,7
